section,name,value
4. the header tax,c10/core/TensorImpl.h      compile seconds (empty file),0.888557
4. the header tax,c10/core/TensorImpl.h      object file (KB),1.024
4. the header tax,ATen/ops/add.h             preprocessed lines,165006
4. the header tax,ATen/ops/add.h             header files pulled in,641
4. the header tax,ATen/ops/add.h             compile seconds (empty file),2.48837
4. the header tax,ATen/ops/add.h             object file (KB),1.024
4. the header tax,ATen/ATen.h                preprocessed lines,265305
4. the header tax,ATen/ATen.h                header files pulled in,4467
4. the header tax,ATen/ATen.h                compile seconds (empty file),4.53849
4. the header tax,ATen/ATen.h                object file (KB),1.024
4. the header tax,torch/extension.h          preprocessed lines,352047
4. the header tax,torch/extension.h          header files pulled in,4894
4. the header tax,torch/extension.h          compile seconds (empty file),15.0674
4. the header tax,torch/extension.h          object file (KB),290.208
4. the header tax,"one operator vs all operators, compile (x)",1.82388
4. the header tax,adding pybind11 costs (s),10.5289
4. the header tax,adding pybind11 costs (x),3.31991
5. how long would the whole thing take,    0 lines of at::add: compile seconds,4.5506
5. how long would the whole thing take,    0 lines of at::add: object KB,1.456
5. how long would the whole thing take,  250 lines of at::add: compile seconds,5.82504
5. how long would the whole thing take,  250 lines of at::add: object KB,103.432
5. how long would the whole thing take, 1000 lines of at::add: compile seconds,13.9822
5. how long would the whole thing take, 1000 lines of at::add: object KB,418.376
5. how long would the whole thing take,"fixed cost per file, headers only (s)",4.5506
5. how long would the whole thing take,marginal cost per line of real code (ms),9.43158
5. how long would the whole thing take,lines of code equal to the header cost,482
5. how long would the whole thing take,average lines per generated TU,8859.98
5. how long would the whole thing take,estimated seconds per generated TU,88.1142
5. how long would the whole thing take,"generated TUs alone, one core (hours)",1.19933
5. how long would the whole thing take,"generated TUs alone, 12 cores (hours)",0.0999443
5. how long would the whole thing take,...and this is a LOWER bound,"the repo adds thousands of hand-written TUs, plus CUDA and third-party libs"
6. what optimisation costs and buys,-O0 build seconds,12.6858
6. what optimisation costs and buys,-O0 kernel microseconds,1935.27
6. what optimisation costs and buys,-O0 .so size (KB),1271.8
6. what optimisation costs and buys,-O2 build seconds,15.6611
6. what optimisation costs and buys,-O2 kernel microseconds,601.217
6. what optimisation costs and buys,-O2 .so size (KB),208.232
6. what optimisation costs and buys,-O3 build seconds,16.014
6. what optimisation costs and buys,-O3 kernel microseconds,360.194
6. what optimisation costs and buys,-O3 .so size (KB),211.296
6. what optimisation costs and buys,-O0 vs -O2: build time (x faster at -O0),1.23454
6. what optimisation costs and buys,-O0 vs -O2: runtime (x slower at -O0),3.21891
6. what optimisation costs and buys,torch's own build uses,-O2 (see section 1)
7. incremental rebuilds,headers read by a TU including ATen/ATen.h,4467
7. incremental rebuilds,headers read by a TU including ATen/ops/add.h,641
7. incremental rebuilds,reduction from per-operator headers (x),6.9688
7. incremental rebuilds,per-operator headers sampled,800
7. incremental rebuilds,  ... that pull in the central tensor header,797
7. incremental rebuilds,  ... percentage,99.625
7. incremental rebuilds,so editing TensorBody.h rebuilds,essentially everything
7. incremental rebuilds,and editing ATen/ops/add.h rebuilds,only what uses add
"8. the recipe, with predicted times",git clone --recursive https://github.com/pytorch/pytorch,"~10 min, ~3 GB"
"8. the recipe, with predicted times",pip install -r requirements.txt,~2 min
"8. the recipe, with predicted times",export USE_CUDA=0,removes the single largest cost
"8. the recipe, with predicted times",export MAX_JOBS=12,one compiler per core; each needs ~2 GB RAM
"8. the recipe, with predicted times",export CMAKE_C_COMPILER_LAUNCHER=ccache,second build ~10x faster
"8. the recipe, with predicted times",export DEBUG=1  (optional),-O0: see section 6 for the trade
"8. the recipe, with predicted times",python setup.py develop,the build itself
"8. the recipe, with predicted times",measured stage 1 (codegen) on this machine (s),15.9184
"8. the recipe, with predicted times",estimated stage 2 (generated TUs) on this machine (h),0.0999443
"8. the recipe, with predicted times",RAM on this machine (GB),33.5
"8. the recipe, with predicted times",RAM needed for MAX_JOBS=12 at ~2GB each (GB),24
